X,Y,KET
112.623473,-8.022454,Masjid
112.620837,-8.021515,Masjid
112.620879,-8.011543,Masjid
112.619338,-8.009534,Masjid
112.615097,-8.002766,Gereja
112.619633,-8.010288,Gereja
112.602236,-8.00443,Masjid
112.607399,-8.00134,Masjid
112.610341,-8.007569,Masjid
112.613359,-8.004049,Masjid
112.614818,-8.000701,Masjid
112.612409,-8.001658,Masjid
112.620561,-8.016128,Masjid
112.630889,-8.001649,Gereja
112.630006,-8.010756,Gereja
112.677823,-8.004612,Masjid
112.668535,-8.002969,Masjid
112.659741,-8.002251,Masjid
112.64312,-8.006272,Masjid
112.643604,-8.004053,Masjid
112.647145,-8.003709,Masjid
112.638197,-8.005451,Masjid
112.628688,-8.011907,Masjid
112.629543,-8.011405,Masjid
112.644285,-8.011194,Masjid
112.66481,-8.015237,Masjid
112.670251,-8.012545,Masjid
112.634164,-8.01629,Masjid
112.633671,-8.018039,Masjid
112.628196,-8.017233,Masjid
112.634361,-8.021015,Masjid
112.66397,-8.038535,Masjid
112.662079,-8.037201,Masjid
112.652651,-8.032714,Masjid
112.644601,-8.039697,Masjid
112.633257,-8.037161,Masjid
112.649337,-8.040421,Masjid
112.629333,-8.00303,Peribadatan/Sosial Lainnya
112.625867,-8.028318,Peribadatan/Sosial Lainnya
112.647177,-8.023003,Peribadatan/Sosial Lainnya
112.642584,-8.001254,Peribadatan/Sosial Lainnya
112.607732,-7.94975,Peribadatan/Sosial Lainnya
112.60935,-7.948948,Peribadatan/Sosial Lainnya
112.620161,-7.978851,Peribadatan/Sosial Lainnya
112.620591,-7.977665,Peribadatan/Sosial Lainnya
112.619929,-7.97641,Peribadatan/Sosial Lainnya
112.618214,-7.974549,Peribadatan/Sosial Lainnya
112.621232,-7.981925,Gereja
112.616996,-7.976905,Gereja
112.624099,-7.968536,Gereja
112.61691,-7.967443,Gereja
112.613797,-7.963807,Gereja
112.61358,-7.974231,Gereja
112.614119,-7.982762,Gereja
112.603928,-7.984403,Gereja
112.605953,-7.966465,Gereja
112.601148,-7.961508,Gereja
112.592083,-7.989799,Gereja
112.620187,-7.993047,Masjid
112.61666,-7.989734,Masjid
112.621305,-7.982937,Masjid
112.621743,-7.960997,Masjid
112.618475,-7.953176,Masjid
112.619171,-7.950567,Masjid
112.621087,-7.945502,Masjid
112.624293,-7.945418,Masjid
112.623944,-7.941068,Masjid
112.622312,-7.939036,Masjid
112.617874,-7.937387,Masjid
112.613977,-7.93219,Masjid
112.610357,-7.9548,Masjid
112.615135,-7.955769,Masjid
112.611314,-7.958782,Masjid
112.615183,-7.958963,Masjid
112.61379,-7.957407,Masjid
