X,Y,KET,geometry
112.623473,-8.022454,Masjid,POINT (112.623473 -8.022454)
112.620837,-8.021515,Masjid,POINT (112.620837 -8.021515000000001)
112.620879,-8.011543,Masjid,POINT (112.620879 -8.011543)
112.619338,-8.009534,Masjid,POINT (112.619338 -8.009534)
112.615097,-8.002766,Gereja,POINT (112.615097 -8.002765999999999)
112.619633,-8.010288,Gereja,POINT (112.619633 -8.010287999999999)
112.602236,-8.00443,Masjid,POINT (112.602236 -8.004429999999999)
112.607399,-8.00134,Masjid,POINT (112.607399 -8.001340000000001)
112.610341,-8.007569,Masjid,POINT (112.610341 -8.007569)
112.613359,-8.004049,Masjid,POINT (112.613359 -8.004049)
112.614818,-8.000701,Masjid,POINT (112.614818 -8.000700999999999)
112.612409,-8.001658,Masjid,POINT (112.612409 -8.001658000000001)
112.620561,-8.016128,Masjid,POINT (112.620561 -8.016128)
112.630889,-8.001649,Gereja,POINT (112.630889 -8.001649)
112.630006,-8.010756,Gereja,POINT (112.630006 -8.010756000000001)
112.677823,-8.004612,Masjid,POINT (112.677823 -8.004612)
112.668535,-8.002969,Masjid,POINT (112.668535 -8.002969)
112.659741,-8.002251,Masjid,POINT (112.659741 -8.002250999999999)
112.64312,-8.006272,Masjid,POINT (112.64312 -8.006271999999999)
112.643604,-8.004053,Masjid,POINT (112.643604 -8.004053000000001)
112.647145,-8.003709,Masjid,POINT (112.647145 -8.003709000000001)
112.638197,-8.005451,Masjid,POINT (112.638197 -8.005451000000001)
112.628688,-8.011907,Masjid,POINT (112.628688 -8.011907000000001)
112.629543,-8.011405,Masjid,POINT (112.629543 -8.011405)
112.644285,-8.011194,Masjid,POINT (112.644285 -8.011194)
112.66481,-8.015237,Masjid,POINT (112.66481 -8.015237000000001)
112.670251,-8.012545,Masjid,POINT (112.670251 -8.012544999999999)
112.634164,-8.01629,Masjid,POINT (112.634164 -8.01629)
112.633671,-8.018039,Masjid,POINT (112.633671 -8.018039)
112.628196,-8.017233,Masjid,POINT (112.628196 -8.017232999999999)
112.634361,-8.021015,Masjid,POINT (112.634361 -8.021015)
112.66397,-8.038535,Masjid,POINT (112.66397 -8.038535)
112.662079,-8.037201,Masjid,POINT (112.662079 -8.037201)
112.652651,-8.032714,Masjid,POINT (112.652651 -8.032714)
112.644601,-8.039697,Masjid,POINT (112.644601 -8.039697)
112.633257,-8.037161,Masjid,POINT (112.633257 -8.037160999999999)
112.649337,-8.040421,Masjid,POINT (112.649337 -8.040421)
112.629333,-8.00303,Peribadatan/Sosial Lainnya,POINT (112.629333 -8.003030000000001)
112.625867,-8.028318,Peribadatan/Sosial Lainnya,POINT (112.625867 -8.028318000000001)
112.647177,-8.023003,Peribadatan/Sosial Lainnya,POINT (112.647177 -8.023002999999999)
112.642584,-8.001254,Peribadatan/Sosial Lainnya,POINT (112.642584 -8.001253999999999)
112.607732,-7.94975,Peribadatan/Sosial Lainnya,POINT (112.607732 -7.94975)
112.60935,-7.948948,Peribadatan/Sosial Lainnya,POINT (112.60935 -7.948948)
112.620161,-7.978851,Peribadatan/Sosial Lainnya,POINT (112.620161 -7.978851)
112.620591,-7.977665,Peribadatan/Sosial Lainnya,POINT (112.620591 -7.977665)
112.619929,-7.97641,Peribadatan/Sosial Lainnya,POINT (112.619929 -7.97641)
112.618214,-7.974549,Peribadatan/Sosial Lainnya,POINT (112.618214 -7.974549)
112.621232,-7.981925,Gereja,POINT (112.621232 -7.981925)
112.616996,-7.976905,Gereja,POINT (112.616996 -7.976905)
112.624099,-7.968536,Gereja,POINT (112.624099 -7.968536)
112.61691,-7.967443,Gereja,POINT (112.61691 -7.967443)
112.613797,-7.963807,Gereja,POINT (112.613797 -7.963807)
112.61358,-7.974231,Gereja,POINT (112.61358 -7.974231)
112.614119,-7.982762,Gereja,POINT (112.614119 -7.982762)
112.603928,-7.984403,Gereja,POINT (112.603928 -7.984403)
112.605953,-7.966465,Gereja,POINT (112.605953 -7.966465)
112.601148,-7.961508,Gereja,POINT (112.601148 -7.961508)
112.592083,-7.989799,Gereja,POINT (112.592083 -7.989799)
112.620187,-7.993047,Masjid,POINT (112.620187 -7.993047)
112.61666,-7.989734,Masjid,POINT (112.61666 -7.989734)
112.621305,-7.982937,Masjid,POINT (112.621305 -7.982937)
112.621743,-7.960997,Masjid,POINT (112.621743 -7.960997)
112.618475,-7.953176,Masjid,POINT (112.618475 -7.953176)
112.619171,-7.950567,Masjid,POINT (112.619171 -7.950567)
112.621087,-7.945502,Masjid,POINT (112.621087 -7.945502)
112.624293,-7.945418,Masjid,POINT (112.624293 -7.945418)
112.623944,-7.941068,Masjid,POINT (112.623944 -7.941068)
112.622312,-7.939036,Masjid,POINT (112.622312 -7.939036)
112.617874,-7.937387,Masjid,POINT (112.617874 -7.937387)
112.613977,-7.93219,Masjid,POINT (112.613977 -7.93219)
112.610357,-7.9548,Masjid,POINT (112.610357 -7.9548)
112.615135,-7.955769,Masjid,POINT (112.615135 -7.955769)
112.611314,-7.958782,Masjid,POINT (112.611314 -7.958782)
112.615183,-7.958963,Masjid,POINT (112.615183 -7.958963)
112.61379,-7.957407,Masjid,POINT (112.61379 -7.957407)
112.614652,-7.964054,Masjid,POINT (112.614652 -7.964054)
112.614127,-7.96802,Masjid,POINT (112.614127 -7.96802)
112.60897,-7.966748,Masjid,POINT (112.60897 -7.966748)
112.614015,-7.971591,Masjid,POINT (112.614015 -7.971591)
112.61282,-7.977737,Masjid,POINT (112.61282 -7.977737)
112.608145,-7.975732,Masjid,POINT (112.608145 -7.975732)
112.611561,-7.982312,Masjid,POINT (112.611561 -7.982312)
112.61382,-7.984115,Masjid,POINT (112.61382 -7.984115)
112.612176,-7.987513,Masjid,POINT (112.612176 -7.987513)
112.605138,-7.989299,Masjid,POINT (112.605138 -7.989299)
112.601436,-7.999831,Masjid,POINT (112.601436 -7.999831)
112.605666,-7.982732,Masjid,POINT (112.605666 -7.982732)
112.604932,-7.964355,Masjid,POINT (112.604932 -7.964355)
112.60238,-7.932028,Masjid,POINT (112.60238 -7.932028)
112.608063,-7.928647,Masjid,POINT (112.608063 -7.928647)
112.595601,-7.921367,Masjid,POINT (112.595601 -7.921367)
112.597598,-7.987509,Masjid,POINT (112.597598 -7.987509)
112.594586,-7.989862,Masjid,POINT (112.594586 -7.989862)
112.635872,-7.987869,Pura,POINT (112.635872 -7.987869)
112.630718,-7.992394,Gereja,POINT (112.630718 -7.992394)
112.631038,-7.990608,Gereja,POINT (112.631038 -7.990608)
112.629994,-7.982226,Gereja,POINT (112.629994 -7.982226)
112.627577,-7.980819,Gereja,POINT (112.627577 -7.980819)
112.627023,-7.974477,Gereja,POINT (112.627023 -7.974477)
112.633507,-7.973257,Gereja,POINT (112.633507 -7.973257)
112.638305,-7.974065,Gereja,POINT (112.638305 -7.974065)
112.63179,-7.970141,Gereja,POINT (112.63179 -7.970141)
112.625444,-7.962007,Gereja,POINT (112.625444 -7.962007)
112.635471,-7.964598,Gereja,POINT (112.635471 -7.964598)
112.648032,-7.93223,Gereja,POINT (112.648032 -7.93223)
112.636046,-7.98289,Gereja,POINT (112.636046 -7.98289)
112.634206,-7.938296,Gereja,POINT (112.634206 -7.938296)
112.647281,-7.997163,Masjid,POINT (112.647281 -7.997163)
112.651618,-7.996066,Masjid,POINT (112.651618 -7.996066)
112.644734,-7.993601,Masjid,POINT (112.644734 -7.993601)
112.634783,-7.998347,Masjid,POINT (112.634783 -7.998347)
112.634852,-7.993305,Masjid,POINT (112.634852 -7.993305)
112.631788,-7.989606,Masjid,POINT (112.631788 -7.989606)
112.636395,-7.994576,Masjid,POINT (112.636395 -7.994576)
112.649725,-7.990748,Masjid,POINT (112.649725 -7.990748)
112.654304,-7.98854,Masjid,POINT (112.654304 -7.98854)
112.629719,-7.983149,Masjid,POINT (112.629719 -7.983149)
112.646513,-7.979321,Masjid,POINT (112.646513 -7.979321)
112.637647,-7.968618,Masjid,POINT (112.637647 -7.968618)
112.627677,-7.958795,Masjid,POINT (112.627677 -7.958795)
112.63487,-7.960567,Masjid,POINT (112.63487 -7.960567)
112.633635,-7.963584,Masjid,POINT (112.633635 -7.963584)
112.630906,-7.956741,Masjid,POINT (112.630906 -7.956741)
112.628589,-7.911697,Masjid,POINT (112.628589 -7.911697)
112.630866,-7.963233,Masjid,POINT (112.630866 -7.963233)
112.638349,-7.963321,Masjid,POINT (112.638349 -7.963321)
112.639066,-7.965624,Masjid,POINT (112.639066 -7.965624)
112.655525,-7.973943,Masjid,POINT (112.655525 -7.973943)
112.652268,-7.979644,Masjid,POINT (112.652268 -7.979644)
112.661292,-7.982481,Masjid,POINT (112.661292 -7.982481)
112.666162,-7.980949,Masjid,POINT (112.666162 -7.980949)
112.681942,-7.979823,Masjid,POINT (112.681942 -7.979823)
112.677735,-7.992274,Masjid,POINT (112.677735 -7.992274)
112.664293,-7.97385,Masjid,POINT (112.664293 -7.97385)
112.671901,-7.974923,Masjid,POINT (112.671901 -7.974923)
112.647181,-7.953198,Masjid,POINT (112.647181 -7.953198)
112.641984,-7.952852,Masjid,POINT (112.641984 -7.952852)
112.63588,-7.952987,Masjid,POINT (112.63588 -7.952987)
112.631625,-7.948112,Masjid,POINT (112.631625 -7.948112)
112.627777,-7.949179,Masjid,POINT (112.627777 -7.949179)
112.625847,-7.945465,Masjid,POINT (112.625847 -7.945465)
112.636206,-7.945647,Masjid,POINT (112.636206 -7.945647)
112.645626,-7.942243,Masjid,POINT (112.645626 -7.942243)
112.641393,-7.942602,Masjid,POINT (112.641393 -7.942602)
112.65573,-7.948654,Masjid,POINT (112.65573 -7.948654)
112.657807,-7.946394,Masjid,POINT (112.657807 -7.946394)
112.660457,-7.944813,Masjid,POINT (112.660457 -7.944813)
112.665272,-7.945069,Masjid,POINT (112.665272 -7.945069)
112.660699,-7.932564,Masjid,POINT (112.660699 -7.932564)
112.627811,-7.935518,Masjid,POINT (112.627811 -7.935518)
112.632139,-7.936762,Masjid,POINT (112.632139 -7.936762)
112.629339,-7.937798,Masjid,POINT (112.629339 -7.937798)
112.633046,-7.94119,Masjid,POINT (112.633046 -7.94119)
112.642295,-7.941022,Masjid,POINT (112.642295 -7.941022)
112.627274,-7.931857,Masjid,POINT (112.627274 -7.931857)
112.637765,-7.931585,Masjid,POINT (112.637765 -7.931585)
112.649403,-7.929277,Masjid,POINT (112.649403 -7.929277)
112.648838,-7.927197,Masjid,POINT (112.648838 -7.927197)
112.645987,-7.929752,Masjid,POINT (112.645987 -7.929752)
112.640848,-7.926216,Masjid,POINT (112.640848 -7.926216)
112.632883,-7.929813,Masjid,POINT (112.632883 -7.929813)
112.632191,-7.924213,Masjid,POINT (112.632191 -7.924213)
112.635537,-7.92377,Masjid,POINT (112.635537 -7.92377)
112.651203,-7.922882,Masjid,POINT (112.651203 -7.922882)
112.658724,-7.930282,Masjid,POINT (112.658724 -7.930282)
112.646351,-7.932734,Masjid,POINT (112.646351 -7.932734)
112.638565,-7.988518,Masjid,POINT (112.638565 -7.988518)
112.637368,-7.991204,Masjid,POINT (112.637368 -7.991204)
112.627238,-7.987175,Masjid,POINT (112.627238 -7.987175)
112.637983,-7.984679,Masjid,POINT (112.637983 -7.984679)
112.657241,-7.973145,Peribadatan/Sosial Lainnya,POINT (112.657241 -7.973145)
